604,Parente & Brian Snõddy,['Hamletback Goliath'],['Hamletback Goliath']
117,Steve Ellis,"['Phantasmagorian', 'Planar Chaos', 'Planechase 2012 Edition', 'Magic 2014 Core Set', 'Morningtide', 'Planechase Anthology', 'Lorwyn']","['Phantasmagorian', 'Spitting Sliver', 'Fatal Frenzy', 'Hunting Wilds', 'Mudbutton Torchrunner', 'Disperse', 'Disperse', 'Mudbutton Torchrunner', 'Merrow Commerce', 'Protective Bubble', 'Mudbutton Torchrunner', 'Elvish Promenade']"
571,Claymore J. Flapdoodle,"[""I'm Rubber, You're Glue"", 'Unglued']","[""I'm Rubber, You're Glue"", 'Double Take', 'Free-for-All', 'Psychic Network', 'Goblin Bookie', 'Jalum Grifter', 'Double Play', 'Elvish Impersonators', ""Urza's Science Fair Project""]"
8,Shelly Wan,"['Devout Lightcaster', 'Zendikar', 'Commander 2016', 'Commander 2017', 'Morningtide', 'Shards of Alara', 'Archenemy', 'Scars of Mirrodin', 'Magic: The Gathering—Conspiracy', 'Conspiracy: Take the Crown', 'Mirrodin Besieged']","['Devout Lightcaster', 'Sphinx of Lost Truths', 'Malakir Bloodwitch', 'Misty Rainforest', 'Sanctum Gargoyle', 'Leonin Arbiter', 'Malakir Bloodwitch', 'Mothdust Changeling', 'Sage of Fables', 'Kindled Fury', 'Sanctum Gargoyle', 'Skill Borrower', 'Punish Ignorance', 'Sanctum Gargoyle', 'Leonin Arbiter', 'Turn Aside', 'Vulshok Heartstoker', 'Copperhorn Scout', ""Ezuri's Archers"", 'Copperhorn Scout', 'Copperhorn Scout', 'Horrifying Revelation', 'Unnatural Predation']"
607,Justin Norman,"['Steamcore Weird', 'Guildpact']","['Steamcore Weird', 'Rabble-Rouser']"
180,Lars Grant-“Wild Wild”-West,['Remodel'],['Remodel']
260,Brandon Kitkouski,"['Regal Force', 'Eventide', 'Planechase 2012 Edition', 'Alara Reborn', 'Commander 2016', 'Commander Anthology', 'Planechase', 'Commander 2013 Edition', 'Shards of Alara', 'Future Sight', 'Commander 2014', 'Ravnica: City of Guilds', 'Magic: The Gathering—Conspiracy', 'Planechase Anthology', 'Conflux', 'Conspiracy: Take the Crown', 'Guildpact', 'Shadowmoor', 'Magic 2012', 'Magic 2015 Core Set']","['Regal Force', 'Cauldron Haze', 'Canker Abomination', 'Cascade Bluffs', 'Morphic Tide', 'Hissing Iguanar', 'Thunder-Thrash Elder', ""Stormcaller's Boon"", 'Rites of Flourishing', 'Farhaven Elf', 'Presence of Gond', 'Mountain', 'Farhaven Elf', 'Presence of Gond', 'Jund Charm', 'Spiteful Visions', 'Obelisk of Jund', 'Hissing Iguanar', 'Thunder-Thrash Elder', 'Jund Charm', 'Obelisk of Jund', 'Lost Auramancers', 'Bonded Fetch', 'Festering March', 'Stronghold Rats', 'Emberwilde Augur', 'Rites of Flourishing', 'Farhaven Elf', 'Necromantic Thirst', 'Glimpse the Unthinkable', 'Necromantic Thirst', 'Morphic Tide', 'Hissing Iguanar', 'Thunder-Thrash Elder', 'Absorb Vis', 'Maniacal Rage', 'Toxic Iguanar', 'Absorb Vis', ""Guardian's Magemark"", ""Infiltrator's Magemark"", ""Necromancer's Magemark"", ""Fencer's Magemark"", ""Beastmaster's Magemark"", 'Mass Calcify', 'Farhaven Elf', 'Presence of Gond', 'Gravelgill Duo', 'Spiteful Visions', 'Oracle of Nectars', 'Moonring Island', 'Island', 'Mountain', 'Rites of Flourishing', 'Mass Calcify']"
162,Kensuke Okabayashi,"['Johnny, Combo Player', 'Saviors of Kamigawa', 'Champions of Kamigawa', 'Coldsnap']","['Johnny, Combo Player', 'Ghost-Lit Warder', 'Kiri-Onna', 'Callous Deceiver', 'Junkyo Bell', 'Rimefeather Owl', 'Gutless Ghoul']"
331,Chippy & Matthew Wilson,"['Disease Carriers', ""Urza's Destiny""]","['Disease Carriers', 'Festering Wound', 'Plague Dogs']"
471,Doug Keith,"['Ashes to Ashes', 'Fifth Edition', 'Classic Sixth Edition']","['Ashes to Ashes', 'Fear', 'Gaseous Form', 'Dust to Dust', 'Fear']"
611,Jeremy Wilson,['Unquenchable Thirst'],['Unquenchable Thirst']
606,Kevin Murphy,"[""Thieves' Auction"", 'Mercadian Masques']","[""Thieves' Auction"", ""Thieves' Auction"", 'Desert Twister']"
39,Anthony Francisco,"['Lethargy Trap', 'Zendikar', 'Planechase 2012 Edition', 'Alara Reborn', 'Dark Ascension', 'Commander 2016', 'Commander 2015', 'Commander 2017', 'Commander 2013 Edition', 'Worldwake', 'Shards of Alara', 'Avacyn Restored', 'Innistrad', 'Future Sight', 'Rise of the Eldrazi', 'Planechase Anthology', 'Conflux', 'New Phyrexia', 'Mirrodin Besieged', 'Magic 2012']","['Lethargy Trap', 'Soul Stair Expedition', 'Elemental Appeal', 'Hellion Eruption', 'Sanctum Plowbeast', 'Maelstrom Pulse', 'Nulltread Gargantuan', 'Increasing Vengeance', 'Clinging Mists', 'Arcane Sanctum', 'Stolen Goods', 'Arcane Sanctum', 'Arcane Sanctum', 'Sejiri Merfolk', 'Sejiri Steppe', 'Tezzeret the Seeker', 'Salvage Titan', 'Brilliant Ultimatum', 'Arcane Sanctum', 'Stolen Goods', 'Descent into Madness', 'Thunderbolt', 'Blessings of Nature', 'Think Twice', 'Magus of the Future', 'Merfolk Observer', 'Brood Birthing', 'Hellion Eruption', 'Hellion Eruption', 'Lapse of Certainty', 'Inkwell Leviathan', 'Salvage Slasher', 'Countersquall', 'Blighted Agent', 'Psychic Surgery', 'Conversion Chamber', ""Kemba's Legion"", 'Vivisection', 'Chasm Drake']"
165,Corey D. Macourek,"['The Fallen Apart', 'Unhinged', 'Mirrodin', 'Planechase', 'Ninth Edition', 'Onslaught']","['The Fallen Apart', 'Kill! Destroy!', 'Serum Tank', 'Serum Tank', 'Slate of Ancestry', 'Slate of Ancestry']"
414,Nottsuo,"['Darksteel Brute', 'Darksteel', 'Commander 2015', 'Commander 2017', 'Archenemy', 'Champions of Kamigawa', 'Guildpact', 'Fifth Dawn']","['Darksteel Brute', 'Gemini Engine', 'Wirefly Hive', 'Magma Giant', 'Ryusei, the Falling Star', 'Ryusei, the Falling Star', 'Cruel Deceiver', 'Akki Coalflinger', 'Ryusei, the Falling Star', 'Sachi, Daughter of Seshiro', 'Thousand-legged Kami', 'Aetherplasm', 'Vacuumelt', 'Ulasht, the Hate Seed', 'Magma Giant', 'Relic Barrier']"
616,Z. Plucinski & D. Alexander Gregory,['Keeper of Tresserhorn'],['Keeper of Tresserhorn']
282,Colin MacNeil,"['Reins of Power', 'Commander 2015', 'Tempest', 'Stronghold', 'Classic Sixth Edition', 'Weatherlight']","['Reins of Power', 'Reins of Power', 'Ancient Tomb', ""Imps' Taunt"", 'Silver Wyvern', 'Death Stroke', 'Reins of Power', 'Abduction', 'Chimeric Sphere', 'Abduction', 'Ancestral Knowledge']"
77,Anthony S. Waters,"['Circular Logic', 'Torment', 'Dissension', 'Apocalypse', 'Planechase 2012 Edition', 'Magic: The Gathering-Commander', 'Mirrodin', 'Time Spiral', 'Alara Reborn', 'Commander 2016', 'Darksteel', 'Magic 2013', 'Tempest', 'Scourge', 'Planechase', 'Stronghold', ""Urza's Saga"", 'Commander 2013 Edition', 'Saviors of Kamigawa', 'Shards of Alara', 'Ninth Edition', 'Explorers of Ixalan', 'Vanguard', 'Onslaught', 'Future Sight', 'Prophecy', 'Unglued', 'Champions of Kamigawa', 'Ravnica: City of Guilds', 'Fourth Edition', 'Magic: The Gathering—Conspiracy', 'Planechase Anthology', 'Betrayers of Kamigawa', 'Coldsnap', 'Tenth Edition', 'Odyssey', 'Lorwyn', 'Conspiracy: Take the Crown', 'Time Spiral ""Timeshifted""', 'Eighth Edition', 'Guildpact', ""Urza's Legacy"", 'Shadowmoor', 'Legions', 'Fifth Dawn', 'Magic Origins', 'Magic 2015 Core Set']","['Circular Logic', 'Overmaster', 'Stalking Vengeance', 'Cytospawn Shambler', 'Dread Slag', 'Vigean Hydropon', 'Shield of Duty and Reason', 'Bloodfire Infusion', ""Martyrs' Tomb"", 'Yavimaya Coast', 'Kathari Remnant', 'Mortivore', 'Faultgrinder', 'Forest', 'War Elemental', 'Living Hive', 'Momentary Blink', 'Pit Keeper', 'Chameleon Blur', 'Sprout', 'Firewake Sliver', 'Kathari Remnant', 'Blitz Hellion', 'Sewn-Eye Drake', 'Hoofprints of the Stag', 'Stalking Vengeance', 'Wilderness Elemental', 'Quicksilver Behemoth', 'Mycosynth Lattice', 'Shimian Specter', 'Whim of Volrath', 'Winged Sliver', 'Dawn Elemental', 'Thundercloud Elemental', 'Root Elemental', 'Smokebraider', 'Living Hive', 'Spindrift Drake', 'Forest', 'Forest', 'Forest', 'Forest', 'Stalking Vengeance', 'Contested Cliffs', 'Araba Mothrider', 'Hail of Arrows', 'Burning-Eye Zubera', 'Seed the Land', 'Blister Beetle', 'Tar Fiend', 'Ooze Garden', 'Mortivore', 'Yavimaya Coast', 'Threads of Disloyalty', 'Karn', 'Aven Fateshaper', 'Mistform Skyreaver', 'Hystrodon', ""Kamahl's Summons"", 'Stag Beetle', 'Wall of Mulch', 'Contested Cliffs', 'Windswept Heath', 'Wirewood Lodge', 'Cryptic Annelid', 'Shimian Specter', 'Heartwood Storyteller', 'Utopia Mycon', 'Graven Cairns', 'Blessed Wind', 'Hazy Homunculus', 'Flock of Rabid Sheep', 'Pious Kitsune', 'Peer Through Depths', 'Petals of Insight', 'Reach Through Mists', 'Sift Through Sands', 'Kashi-Tribe Reaver', 'Plains', 'Island', 'Swamp', 'Mountain', 'Forest', 'White Mana Battery', 'Cinder Wall', 'Kathari Remnant', 'Threads of Disloyalty', 'Surging Aether', 'Wilderness Elemental', 'Hail of Arrows', 'Mortivore', 'Earth Elemental', 'Yavimaya Coast', 'Forest', 'Infected Vermin', 'Mortivore', 'Epicenter', 'Steam Vines', 'Elephant Ambush', 'Squirrel Nest', 'Wild Mongrel', 'Charmed Pendant', 'Mountain', 'Hoofprints of the Stag', 'Faultgrinder', 'Smokebraider', 'Hail of Arrows', 'Mistform Ultimus', 'Cinder Wall', 'Elfhame Palace', 'Sea Eagle', 'Siege of Towers', 'Petrahydrox', 'Thran Weaponry', 'Treetop Village', 'Morselhoarder', 'Mistform Ultimus', 'Rockshard Elemental', 'Canopy Crawler', 'Fold into Aether', 'Nim Grotesque', 'Ferocious Charge', 'Opaline Bracers', 'Yavimaya Coast', 'Wall of Mulch', 'Yavimaya Coast']"
548,James Arnold,['The Mirari Conjecture'],['The Mirari Conjecture']
435,Tom Babbey,"['Novellamental', 'Unstable', 'Kaladesh']","['Novellamental', 'Novellamental', 'Novellamental', 'Novellamental', 'Wall of Fortune', 'Clock of DOOOOOOOOOOOOM!', 'Entirely Normal Armchair', 'Proper Laboratory Attire', 'Thriving Rats']"
253,Thomas Denmark,"['Springjack Shepherd', 'Eventide', 'Morningtide', 'Lorwyn', 'Shadowmoor', 'Magic 2015 Core Set']","['Springjack Shepherd', 'Noggle Bandit', 'Notorious Throng', 'Fire Juggler', 'Kinsbaile Skirmisher', 'Boggart Mob', ""Nath's Buffoon"", 'Nectar Faerie', 'Last Breath', 'Biting Tether', 'Splitting Headache', 'Tower Above', 'Kinsbaile Skirmisher']"
95,Ciruelo,"['Rancid Earth', 'Planeshift', 'Commander 2015', ""Urza's Saga"", 'Seventh Edition', 'Exodus', 'Commander 2014', 'Invasion', 'Odyssey']","['Rancid Earth', 'Aurora Griffin', 'Blasted Landscape', 'Presence of the Master', 'Soul Sculptor', 'Dromosaur', 'Viashino Outrider', 'Blasted Landscape', 'Remote Isle', ""Serra's Sanctum"", 'Reprisal', ""Serra's Embrace"", 'Befoul', 'Darkest Hour', 'Tainted Aether', 'Crystal Rod', 'Rod of Ruin', 'Charging Paladin', 'Spellbook', 'Remote Isle', 'Glimmering Angel', 'Saproling Symbiosis', 'Treva, the Renewer', ""Aboshan's Desire"", 'Dwarven Recruiter', 'Tremble', 'Beast Attack', ""Seton's Desire""]"
316,Stephan Martiniere,"['Luminate Primordial', 'Gatecrash', 'Commander 2016', 'Commander 2015', 'Commander Anthology', 'Planechase', 'Commander 2013 Edition', 'Ravnica: City of Guilds', 'Planechase Anthology', 'Coldsnap', 'Tenth Edition', 'Conspiracy: Take the Crown', 'New Phyrexia', 'Mirrodin Besieged', 'Magic 2015 Core Set']","['Luminate Primordial', 'Diluvian Primordial', 'Sepulchral Primordial', 'Molten Primordial', 'Sylvan Primordial', 'Psychosis Crawler', 'Phyrexian Rager', 'Psychosis Crawler', 'Phyrexian Rager', 'Faerie Conclave', 'Undercity Reaches', 'Plains', 'Mountain', 'Faerie Conclave', 'Plains', 'Island', 'Swamp', 'Mountain', 'Forest', 'Undercity Reaches', 'Phyrexian Ironfoot', 'Dark Depths', 'Faerie Conclave', 'Island', 'Mountain', 'Forest', 'Psychosis Crawler', 'Chained Throatseeker', 'Chancellor of the Dross', 'Reaper of Sheoldred', 'Phyrexian Rager', 'Phyrexian Vatmother', 'Psychosis Crawler', 'Soul of Ravnica']"
108,Brian Despain,"['Saltfield Recluse', 'Planar Chaos', 'Planeshift', 'Magic: The Gathering-Commander', 'Time Spiral', 'Magic 2011', 'Commander 2016', 'Commander 2015', 'Magic 2010', ""Urza's Saga"", 'Saviors of Kamigawa', 'Seventh Edition', 'Ninth Edition', 'Future Sight', 'Ravnica: City of Guilds', 'Coldsnap', 'Tenth Edition', 'Eighth Edition', 'Magic 2012', 'Mercadian Masques', 'Magic 2015 Core Set']","['Saltfield Recluse', 'Aquamorph Entity', 'Wistful Thinking', 'Sunscape Familiar', 'Chorus of the Conclave', 'Dream Stalker', 'Flashfreeze', 'Open the Vaults', ""Faith's Fetters"", 'Open the Vaults', 'Open the Vaults', 'Flashfreeze', 'Cackling Fiend', 'Priest of Gix', 'Grafted Skullcap', 'Descendant of Soramaro', 'Soramaro, First to Dream', 'Briarknit Kami', 'Starlight', 'Treasure Trove', ""Jandor's Saddlebags"", 'Treasure Trove', 'Nix', 'Riftsweeper', 'Gather Courage', 'Chorus of the Conclave', 'Glacial Plating', 'Flashfreeze', 'Rimehorn Aurochs', 'Flashfreeze', 'Sea Monster', 'Treasure Trove', 'Flashfreeze', 'Cackling Witch', 'Horn of Plenty', 'Gather Courage']"
35,Alex Horley-Orlandelli,"['Caller of Gales', 'Zendikar', 'Torment', 'Planar Chaos', 'Dissension', 'Apocalypse', 'Judgment', 'Theros', 'Eventide', 'Planechase 2012 Edition', 'Magic: The Gathering-Commander', 'Mirrodin', 'Time Spiral', 'Magic 2011', 'Commander 2016', 'Darksteel', 'Commander 2015', 'Magic 2013', 'Commander Anthology', 'Scourge', 'Magic 2010', 'Planechase', 'Saviors of Kamigawa', 'Magic 2014 Core Set', 'Morningtide', 'Seventh Edition', 'Worldwake', 'Archenemy', 'Ninth Edition', 'Onslaught', 'Rise of the Eldrazi', 'Commander 2014', 'Champions of Kamigawa', 'Ravnica: City of Guilds', 'Magic: The Gathering—Conspiracy', 'Planechase Anthology', 'Betrayers of Kamigawa', 'Coldsnap', 'Tenth Edition', 'Odyssey', 'Lorwyn', 'Conspiracy: Take the Crown', 'Eighth Edition', 'Guildpact', 'Shadowmoor', 'Legions', 'Fifth Dawn', 'Magic 2012']","['Caller of Gales', 'Blood Tribute', 'Beastmaster Ascension', 'Cephalid Vandal', 'Psychotic Haze', 'Possessed Centaur', 'Kor Dirge', 'Keldon Marauders', 'Carom', 'Govern the Guildless', 'Kill-Suit Cultist', 'Azorius First-Wing', 'Vigean Intuition', 'Guided Passage', 'Quicksilver Dagger', 'Unquestioned Authority', 'Nessian Asp', 'Nip Gwyllion', 'Noggle Ransacker', 'Noggle Ransacker', 'Bathe in Light', 'Disarm', 'Necrogen Mists', 'Incite War', 'Myr Incubator', 'Flickering Spirit', 'Chromatic Star', 'Scroll Thief', 'Disentomb', 'Swamp', 'Beastmaster Ascension', 'Hallow', 'Mephitic Ooze', 'Shriveling Rot', 'Beastmaster Ascension', 'Orochi Hatchery', 'Scroll Thief', 'Disentomb', 'Bathe in Light', 'Beastmaster Ascension', 'Lifeblood Hydra', 'Noble Templar', 'Vengeful Dead', 'Carbonize', 'Decree of Savagery', 'Disentomb', 'Goblin Artillery', 'Jackal Familiar', 'Swamp', 'Blaze', 'Tornado Elemental', 'Overwhelming Intellect', 'Shifting Borders', 'Tomb of Urami', 'Scroll Thief', 'Trained Condor', 'Fleshpulper Giant', 'Offalsnout', 'Stomping Slabs', 'Oppression', 'Blaze', 'Trained Orgg', 'Seeker of Skybreak', 'Brink of Disaster', ""Mire's Toll"", 'My Crushing Masterstroke', 'Your Will Is Not Your Own', 'Blaze', 'True Believer', 'Discombobulate', 'Break Open', 'Centaur Glade', 'Wirewood Herald', 'Akoum Boulderfoot', 'Pennon Blade', 'Incite Rebellion', 'Lifeblood Hydra', 'Beastmaster Ascension', 'Reweave', 'Kami of the Hunt', ""General's Kabuto"", 'Orochi Hatchery', 'Bathe in Light', 'Festival of the Guildpact', 'Dream Leash', 'Mindmoil', 'Viashino Fangtail', 'War-Torch Goblin', 'Custodi Squire', 'Cogwork Tracker', 'Noble Templar', 'Plagued Rusalka', 'Noggle Ransacker', ""Minamo's Meddling"", 'Soratami Mindsweeper', 'Mark of Sakiko', 'Neko-Te', 'Gelid Shackles', 'Wall of Shards', 'Herald of Leshrac', 'True Believer', 'Discombobulate', 'Blaze', 'Bloodrock Cyclops', 'Chromatic Star', 'Cabal Inquisitor', 'Gravestorm', 'Malevolent Awakening', 'Primal Frenzy', 'Zoologist', 'Decimate', 'Millikin', 'Wanderwine Prophets', 'Scarred Vinebreeder', ""Giant's Ire"", 'Caller of Gales', 'Nessian Asp', 'Anaba Shaman', 'Blaze', 'Martyred Rusalka', 'Gigadrowse', 'Plagued Rusalka', 'Smogsteed Rider', 'Silhana Starfletcher', 'Merrow Wavebreakers', 'Elvish Hexhunter', 'Aven Envoy', 'Cephalid Pathmage', 'Earthblighter', 'Skirk Drill Sergeant', 'Nantuko Vigilante', 'Tel-Jilad Justice', 'Tornado Elemental', 'Clock of Omens', 'Grafted Wargear', 'Brink of Disaster', 'Disentomb']"
520,Patrick Faricy,"['Sanctimony', 'Seventh Edition', 'Eighth Edition']","['Sanctimony', 'Opportunity', 'Goblin Glider', 'Sanctimony', 'Goblin Glider']"
166,Ron Lemen,['Farewell to Arms'],['Farewell to Arms']
259,Cole Eastburn,"['Outrage Shaman', 'Eventide', 'Shards of Alara']","['Outrage Shaman', 'Creakwood Liege', 'Shell Skulkin', 'Bone Splinters', 'Viashino Skeleton', 'Sedraxis Specter']"
353,Zak Plucinski,"['Razor Pendulum', 'Mirage', 'Fifth Edition', 'Alliances']","['Razor Pendulum', 'Unerring Sling', 'Wave Elemental', 'Femeref Scouts', 'Wall of Spears', 'Anti-Magic Aura', 'Stromgald Spy']"
555,Ted Naifeh,"['Bog Wraith', 'Weatherlight']","['Bog Wraith', 'Abjure', 'Barishi', 'Choking Vines']"
152,Thomas Gianni,"['First Come, First Served', 'Unhinged', 'Mirrodin', 'Mirage', 'Tempest', 'Fifth Edition', 'Commander 2017', 'Saviors of Kamigawa', 'Visions', 'Seventh Edition', 'Ninth Edition', 'Future Sight', 'Prophecy', 'Commander 2014', 'Invasion', 'Classic Sixth Edition', 'Weatherlight', 'Mercadian Masques']","['First Come, First Served', 'Head to Head', 'Sphere of Purity', 'Favorable Destiny', 'Frenetic Efreet', 'Prismatic Boon', 'Torture Chamber', 'Dregs of Sorrow', 'Game of Chaos', 'Wall of Stone', 'Reverse Damage', ""Seht's Tiger"", 'Meishin, the Mind Cage', 'Neverending Torment', 'Manriki-Gusari', 'Shimmering Efreet', 'Waterspout Djinn', 'Familiar Ground', 'Gang of Elk', 'Uktabi Wildcats', 'Untamed Wilds', 'Reverse Damage', ""Sea's Claim"", ""Seht's Tiger"", 'Pit Raptor', 'Dregs of Sorrow', 'Prison Barricade', 'Turf Wound', 'Reverse Damage', 'Fledgling Djinn', 'Abeyance', 'Tower of the Magistrate']"
138,Brom,"['Gerrard Capashen', 'Apocalypse', 'Planeshift', 'Magic: The Gathering-Commander', 'Mirrodin', 'Magic 2011', 'Magic 2013', 'Tempest', 'Commander Anthology', 'Magic 2010', 'Planechase', 'Stronghold', 'Exodus', 'Ninth Edition', 'Vanguard', 'Prophecy', 'Commander 2014', 'Magic: The Gathering—Conspiracy', 'Tenth Edition', 'Invasion', 'Classic Sixth Edition', 'Conspiracy: Take the Crown', 'Time Spiral ""Timeshifted""', 'Eighth Edition', 'Weatherlight']","['Gerrard Capashen', 'Desolation Angel', 'Lord of the Undead', 'Reiver Demon', 'Reiver Demon', 'Glissa Sunseeker', 'Bosh, Iron Golem', 'Platinum Angel', 'Platinum Angel', 'Mogg Flunkies', 'Altar of Dementia', 'Phyrexian Splicer', 'Rootwater Hunter', ""Mirri's Guile"", 'Mogg Fanatic', 'Marble Titan', 'Swamp', 'Swamp', 'Swamp', 'Swamp', 'Blood Pet', 'Reiver Demon', 'Platinum Angel', 'Bosh, Iron Golem', 'Mogg Flunkies', 'Bullwhip', 'Contemplation', 'Carnassid', 'Stronghold Taskmaster', ""Volrath's Laboratory"", 'Warrior Angel', 'Zealots en-Dal', 'Hatred', 'Keeper of the Dead', 'Necrologia', 'Oath of Ghouls', 'Anarchist', 'Predatory Hunger', 'Marble Titan', 'Lord of the Undead', 'Anarchist', 'Multani', 'Platinum Angel Avatar', 'Mageta the Lion', 'Greel, Mind Raker', 'Latulla, Keldon Overseer', 'Bosh, Iron Golem', 'Altar of Dementia', 'Hidden Horror', 'Lord of the Undead', 'Mogg Fanatic', 'Platinum Angel', ""Darigaaz's Attendant"", 'Blood Pet', 'Call of the Wild', 'Platinum Angel', 'Gemstone Mine', 'Lord of the Undead', 'Bubble Matrix', ""Teferi's Veil"", 'Aboroth', 'Call of the Wild', 'Sawtooth Ogre', 'Gemstone Mine']"
